Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 34445,0,-
ZCTA5 34446,7861,62753
ZCTA5 34448,4625,55546
ZCTA5 34449,1532,43517
ZCTA5 34450,5218,58913
ZCTA5 34452,5197,56740
ZCTA5 34453,4282,47598
ZCTA5 34461,4542,65364
ZCTA5 34465,7555,60967
ZCTA5 34470,7989,54713
ZCTA5 34471,10279,82015
ZCTA5 34472,11106,69936
ZCTA5 34473,7158,70613
ZCTA5 34474,7270,74562
ZCTA5 34475,4770,46020
ZCTA5 34476,10605,66499
ZCTA5 34479,5280,53176
ZCTA5 34480,7864,90892
ZCTA5 34481,11414,56976
ZCTA5 34482,7091,73284
ZCTA5 34484,1614,59176
ZCTA5 34488,4680,49243
ZCTA5 34491,12738,60620
ZCTA5 34498,249,48148
ZCTA5 34601,10043,54293
ZCTA5 34602,2904,77536
ZCTA5 34604,4311,87495
ZCTA5 34606,11854,54773
ZCTA5 34607,3841,67338
ZCTA5 34608,14076,58826
ZCTA5 34609,16170,71711
ZCTA5 34610,5216,72114
ZCTA5 34613,8451,60821
ZCTA5 34614,2642,78594
ZCTA5 34637,2521,104136
ZCTA5 34638,9524,112340
ZCTA5 34639,10195,99266
ZCTA5 34652,10982,62973
ZCTA5 34653,15210,52937
ZCTA5 34654,8980,70194
ZCTA5 34655,17882,90561
ZCTA5 34661,110,31585
ZCTA5 34667,15736,56397
ZCTA5 34668,20119,47830
ZCTA5 34669,5439,55447
ZCTA5 34677,8566,100486
ZCTA5 34679,22,N
ZCTA5 34681,298,117870
ZCTA5 34683,13380,92555
ZCTA5 34684,13173,76217
ZCTA5 34685,7282,113377
ZCTA5 34688,3197,142242
ZCTA5 34689,11823,88685
ZCTA5 34690,5168,50828
ZCTA5 34691,8946,51692
ZCTA5 34695,7229,115885
ZCTA5 34698,18732,68903
ZCTA5 34705,1000,63511
ZCTA5 34711,21279,88205
ZCTA5 34714,7638,67067
ZCTA5 34715,6747,83387
ZCTA5 34731,6983,71172
ZCTA5 34734,1304,118105
ZCTA5 34736,7531,79212
ZCTA5 34737,1200,95110
ZCTA5 34739,263,73519
ZCTA5 34741,16278,51218
ZCTA5 34743,12257,63235
ZCTA5 34744,17975,67057
ZCTA5 34746,14223,77970
ZCTA5 34747,9160,97198
ZCTA5 34748,17561,56655
ZCTA5 34753,1675,56785
ZCTA5 34756,1167,97905
ZCTA5 34758,11315,65626
ZCTA5 34759,12142,66020
ZCTA5 34760,255,161575
ZCTA5 34761,14030,87443
ZCTA5 34762,187,75019
ZCTA5 34769,8603,61741
ZCTA5 34771,6618,100259
ZCTA5 34772,9105,81026
ZCTA5 34773,1161,68136
ZCTA5 34785,15192,83674
ZCTA5 34786,14966,166800
ZCTA5 34787,24677,111696
ZCTA5 34788,8422,61641
ZCTA5 34797,602,92748
ZCTA5 34945,1466,84005
ZCTA5 34946,2565,47781
ZCTA5 34947,4057,45616
ZCTA5 34949,4333,94075
ZCTA5 34950,5977,40115
ZCTA5 34951,7051,59614
ZCTA5 34952,17668,63044
ZCTA5 34953,23064,82039
ZCTA5 34956,2393,56035
ZCTA5 34957,10713,84978
ZCTA5 34972,5994,58220
ZCTA5 34974,10109,65568
ZCTA5 34981,1621,67423
ZCTA5 34982,10262,58090
ZCTA5 34983,14674,77490
ZCTA5 34984,5822,80280
ZCTA5 34986,11932,82964
ZCTA5 34987,4311,85346
ZCTA5 34990,11834,137393
ZCTA5 34994,7445,70895
ZCTA5 34996,5783,128840
ZCTA5 34997,17886,85218
ZCTA5 15001,14093,74914
ZCTA5 15003,5104,65734
ZCTA5 15004,138,66654
ZCTA5 15005,3948,98170
ZCTA5 15006,131,105434
ZCTA5 15007,167,70419
ZCTA5 15009,6509,89137
ZCTA5 15010,11363,76001
ZCTA5 15012,6883,77628
ZCTA5 15014,1450,47439
ZCTA5 15015,490,144772
ZCTA5 15017,7035,96322
ZCTA5 15018,546,54764
ZCTA5 15019,715,64247
ZCTA5 15020,17,N
ZCTA5 15021,3108,77167
ZCTA5 15022,4127,66050
ZCTA5 15024,3534,91732
ZCTA5 15025,6793,96441
ZCTA5 15026,1393,98417
ZCTA5 15027,1169,69677
ZCTA5 15028,68,53479
ZCTA5 15030,551,60354
ZCTA5 15031,231,63808
ZCTA5 15033,2207,44552
ZCTA5 15034,928,53511
ZCTA5 15035,980,64250
ZCTA5 15037,4382,84280
ZCTA5 15038,150,83240
ZCTA5 15042,3588,83915
ZCTA5 15043,897,84916
ZCTA5 15044,10609,159589
ZCTA5 15045,1853,55292
ZCTA5 15046,1105,79497
ZCTA5 15047,36,N
ZCTA5 15049,524,56628
ZCTA5 15050,1006,83269
ZCTA5 15051,229,74020
ZCTA5 15052,1254,66664
ZCTA5 15053,50,37982
ZCTA5 15054,132,51652
ZCTA5 15055,562,66214
ZCTA5 15056,566,61425
ZCTA5 15057,6153,105105
ZCTA5 15059,1724,63666
ZCTA5 15060,347,67403
ZCTA5 15061,5256,67504
ZCTA5 15062,3430,60426
ZCTA5 15063,4960,74092
ZCTA5 15064,120,92248
ZCTA5 15065,5088,72187
ZCTA5 15066,5631,63068
ZCTA5 15067,1117,58112
ZCTA5 15068,16994,67452
ZCTA5 15071,4967,103177
ZCTA5 15072,8,N
ZCTA5 15074,3771,58307
ZCTA5 15075,20,N
ZCTA5 15076,321,63797
ZCTA5 15077,85,80702
ZCTA5 15078,141,70850
ZCTA5 15081,151,72207
ZCTA5 15082,82,51545
ZCTA5 15083,396,76566
ZCTA5 15084,4702,62502
ZCTA5 15085,3284,74545
ZCTA5 15086,188,161712
ZCTA5 15087,38,70268
ZCTA5 15088,174,48916
ZCTA5 15089,2996,65338
ZCTA5 15090,9269,161069
ZCTA5 15101,10485,110800
ZCTA5 15102,13019,100710
ZCTA5 15104,4046,49594
ZCTA5 15106,9768,77221
ZCTA5 15108,17387,98986
ZCTA5 15110,2246,45096
ZCTA5 15112,1494,48420
ZCTA5 15116,6005,94503
ZCTA5 15120,8638,60560
ZCTA5 15122,8314,69027
ZCTA5 15126,3176,90796
ZCTA5 15129,4407,88537
ZCTA5 15131,3890,72600
ZCTA5 15132,9977,43478
ZCTA5 15133,2877,66402
ZCTA5 15135,2110,83372
ZCTA5 15136,9832,74047
ZCTA5 15137,4726,83056
ZCTA5 15139,3244,101574
ZCTA5 15140,1557,42087
ZCTA5 15142,441,280807
ZCTA5 15143,8757,162607
ZCTA5 15144,1877,73670
ZCTA5 15145,3186,44617
ZCTA5 15146,12122,80367
ZCTA5 15147,7980,68980
ZCTA5 15148,1140,45340
ZCTA5 15201,6769,95003
ZCTA5 15202,9899,72144
ZCTA5 15203,5853,76954
ZCTA5 15204,3584,52694
ZCTA5 15205,10050,76313
ZCTA5 15206,14846,79837
ZCTA5 15207,4981,56823
ZCTA5 15208,4354,88420
ZCTA5 15209,5738,75460
ZCTA5 15210,11412,52578
ZCTA5 15211,5776,85276
ZCTA5 15212,13991,64412
ZCTA5 15213,10267,44351
ZCTA5 15214,6071,62323
ZCTA5 15215,5624,129474
ZCTA5 15216,10647,82630
ZCTA5 15217,12000,117088
ZCTA5 15218,6828,78307
ZCTA5 15219,5307,48969
ZCTA5 15220,8342,83207
ZCTA5 15221,15992,62955
ZCTA5 15222,2865,131559
ZCTA5 15223,3289,58658
ZCTA5 15224,5871,72419
ZCTA5 15225,558,53069
ZCTA5 15226,6404,71810
ZCTA5 15227,11965,81358
ZCTA5 15228,7115,143418
ZCTA5 15229,6108,84902
ZCTA5 15232,6496,88550
ZCTA5 15233,1482,65596
ZCTA5 15234,6149,81197
ZCTA5 15235,14976,74016
ZCTA5 15236,12721,85749
ZCTA5 15237,17741,110136
ZCTA5 15238,5314,170167
ZCTA5 15239,8326,93788
ZCTA5 15241,7950,154028
ZCTA5 15243,5483,120118
ZCTA5 15260,0,-
ZCTA5 15290,0,-
ZCTA5 15301,20833,78415
ZCTA5 15310,111,70124
ZCTA5 15311,542,88706
ZCTA5 15312,1602,87433
ZCTA5 15313,137,81238
ZCTA5 15314,1433,61431
ZCTA5 15315,222,49614
ZCTA5 15316,53,46668
ZCTA5 15317,15790,112749
ZCTA5 15320,2331,63634
ZCTA5 15321,575,102595
ZCTA5 15322,732,89068
ZCTA5 15323,1687,85013
ZCTA5 15324,315,44974
ZCTA5 15325,172,41825
ZCTA5 15327,622,77178
ZCTA5 15329,616,79730
ZCTA5 15330,2070,99526
ZCTA5 15331,314,70018
ZCTA5 15332,3781,83220
ZCTA5 15333,738,67235
ZCTA5 15334,54,86507
ZCTA5 15337,174,80169
ZCTA5 15338,674,88169
ZCTA5 15340,519,95689
ZCTA5 15341,333,75422
ZCTA5 15342,2265,81947
ZCTA5 15344,719,74525
ZCTA5 15345,564,65127
ZCTA5 15346,210,75079
ZCTA5 15347,132,100874
ZCTA5 15348,65,45311
ZCTA5 15349,634,72040
ZCTA5 15350,170,58151
ZCTA5 15351,373,44736
ZCTA5 15352,451,60075
ZCTA5 15353,71,74920
ZCTA5 15357,602,71138
ZCTA5 15358,400,64811
ZCTA5 15359,82,73389
ZCTA5 15360,679,95263
ZCTA5 15361,91,78226
ZCTA5 15362,357,69794
ZCTA5 15363,208,74728
ZCTA5 15364,320,106508
ZCTA5 15366,245,50038
ZCTA5 15367,3058,195072
ZCTA5 15368,174,50048
ZCTA5 15370,4959,71005
ZCTA5 15376,607,107266
ZCTA5 15377,250,110308
ZCTA5 15378,21,N
ZCTA5 15379,42,62167
ZCTA5 15380,300,64377
ZCTA5 15401,13513,67117
ZCTA5 15410,522,61945
ZCTA5 15411,271,64990
ZCTA5 15412,209,53584
ZCTA5 15413,149,42931
ZCTA5 15417,3556,58776
ZCTA5 15419,1594,50719
ZCTA5 15420,74,42657
ZCTA5 15421,23,N
ZCTA5 15422,79,54880
ZCTA5 15423,791,75446
ZCTA5 15424,936,52425
ZCTA5 15425,8518,61019
ZCTA5 15427,418,69973
ZCTA5 15428,745,71677
ZCTA5 15429,139,53599
ZCTA5 15430,139,61682
ZCTA5 15431,1812,67652
ZCTA5 15432,210,58004
ZCTA5 15433,298,48198
ZCTA5 15434,132,52295
ZCTA5 15435,170,57380
ZCTA5 15436,1103,56531
ZCTA5 15437,803,69853
ZCTA5 15438,873,75103
ZCTA5 15440,62,67805
ZCTA5 15442,912,62540
ZCTA5 15443,8,N
ZCTA5 15444,198,63002
ZCTA5 15445,1194,77814
ZCTA5 15446,80,57555
ZCTA5 15447,51,N
ZCTA5 15448,93,62425
ZCTA5 15449,94,55311
ZCTA5 15450,92,269729
ZCTA5 15451,470,76606
ZCTA5 15454,48,36752
ZCTA5 15455,138,50646
ZCTA5 15456,1257,47014
ZCTA5 15458,997,62712
ZCTA5 15459,559,65918
ZCTA5 15460,55,53169
ZCTA5 15461,1709,52899
ZCTA5 15462,97,49406
ZCTA5 15463,45,N
ZCTA5 15464,588,79055
ZCTA5 15466,192,61666
ZCTA5 15467,59,54458
ZCTA5 15468,1073,57945
ZCTA5 15469,1085,53449
ZCTA5 15470,296,95299
ZCTA5 15472,90,41818
ZCTA5 15473,1639,66715
ZCTA5 15474,683,69909
ZCTA5 15475,551,55887
ZCTA5 15476,22,N
ZCTA5 15477,382,64862
ZCTA5 15478,2379,78768
ZCTA5 15479,905,178635
ZCTA5 15480,941,52468
ZCTA5 15482,142,56896
ZCTA5 15483,186,65948
ZCTA5 15484,169,78925
ZCTA5 15486,974,62906
ZCTA5 15489,144,50147
ZCTA5 15490,207,59734
ZCTA5 15492,53,35787
ZCTA5 15501,6378,66993
ZCTA5 15502,44,79714
ZCTA5 15510,8,N
ZCTA5 15520,104,62053
ZCTA5 15521,675,67394
ZCTA5 15522,4961,64589
ZCTA5 15530,2047,74068
ZCTA5 15531,1539,56241
ZCTA5 15532,61,59275
ZCTA5 15533,520,58698
ZCTA5 15534,383,71131
ZCTA5 15535,830,61424
ZCTA5 15536,146,65490
ZCTA5 15537,3518,64579
ZCTA5 15538,283,90593
ZCTA5 15539,125,67228
ZCTA5 15540,127,65769
ZCTA5 15541,1358,69458
ZCTA5 15542,451,62075
ZCTA5 15544,48,54640
ZCTA5 15545,1134,59773
ZCTA5 15546,204,47807
ZCTA5 15547,284,80108
ZCTA5 15550,721,63977
ZCTA5 15551,267,61320
ZCTA5 15552,2289,63120
ZCTA5 15554,1142,67103
ZCTA5 15555,30,50543
ZCTA5 15557,1447,62341
ZCTA5 15558,772,59752
ZCTA5 15559,720,71562
ZCTA5 15560,57,56160
ZCTA5 15561,87,56949
ZCTA5 15562,81,103915
ZCTA5 15563,1286,64102
ZCTA5 15564,23,59026
ZCTA5 15601,24492,80868
ZCTA5 15610,1806,70468
ZCTA5 15611,259,44893
ZCTA5 15612,170,36126
ZCTA5 15613,5527,81049
ZCTA5 15615,139,112445
ZCTA5 15616,0,-
ZCTA5 15617,152,73411
ZCTA5 15618,1096,57936
ZCTA5 15620,268,42807
ZCTA5 15621,30,N
ZCTA5 15622,491,92027
ZCTA5 15623,326,56416
ZCTA5 15624,186,58290
ZCTA5 15625,27,N
ZCTA5 15626,2433,87656
ZCTA5 15627,2639,64609
ZCTA5 15628,245,57956
ZCTA5 15629,309,47557
ZCTA5 15631,440,52747
ZCTA5 15632,3595,113366
ZCTA5 15633,241,43542
ZCTA5 15634,193,31954
ZCTA5 15635,79,39099
ZCTA5 15636,1743,130812
ZCTA5 15637,490,66464
ZCTA5 15638,66,50917
ZCTA5 15639,936,76798
ZCTA5 15640,211,83370
ZCTA5 15641,235,54231
ZCTA5 15642,18578,90924
ZCTA5 15644,8678,67752
ZCTA5 15646,104,70179
ZCTA5 15647,159,71220
ZCTA5 15650,11495,75212
ZCTA5 15655,102,74998
ZCTA5 15656,4074,75652
ZCTA5 15658,4125,101557
ZCTA5 15660,216,69883
ZCTA5 15661,297,65549
ZCTA5 15662,280,59847
ZCTA5 15663,226,66179
ZCTA5 15665,479,60318
ZCTA5 15666,7218,61809
ZCTA5 15668,5423,136159
ZCTA5 15670,1324,76090
ZCTA5 15671,253,67938
ZCTA5 15672,1406,87767
ZCTA5 15673,596,74212
ZCTA5 15675,389,59571
ZCTA5 15676,263,76555
ZCTA5 15677,158,56958
ZCTA5 15678,254,74292
ZCTA5 15679,1273,63303
ZCTA5 15680,117,43126
ZCTA5 15681,1977,69288
ZCTA5 15683,3582,65798
ZCTA5 15684,295,58179
ZCTA5 15686,367,67683
ZCTA5 15687,478,63693
ZCTA5 15688,406,80169
ZCTA5 15689,79,72678
ZCTA5 15690,4034,57526
ZCTA5 15691,0,-
ZCTA5 15692,428,51806
ZCTA5 15693,50,N
ZCTA5 15695,146,81642
ZCTA5 15696,114,64796
ZCTA5 15697,1350,71616
ZCTA5 15698,318,56576
ZCTA5 15701,13486,66500
ZCTA5 15710,66,59738
ZCTA5 15711,174,59305
ZCTA5 15712,88,61905
ZCTA5 15713,117,43114
ZCTA5 15714,1925,51405
ZCTA5 15715,198,47390
ZCTA5 15716,322,62941
ZCTA5 15717,4368,70096
ZCTA5 15721,86,55749
ZCTA5 15722,844,66226
ZCTA5 15723,12,N
ZCTA5 15724,864,64715
ZCTA5 15725,603,64905
ZCTA5 15727,70,50279
ZCTA5 15728,1289,69180
ZCTA5 15729,576,64502
ZCTA5 15730,50,41354
ZCTA5 15731,164,49037
ZCTA5 15732,626,64210
ZCTA5 15733,85,26760
ZCTA5 15734,187,36319
ZCTA5 15736,335,60996
ZCTA5 15737,45,38389
ZCTA5 15738,90,44540
ZCTA5 15739,199,62675
ZCTA5 15741,25,70308
ZCTA5 15742,337,79150
ZCTA5 15744,48,61927
ZCTA5 15745,97,53394
ZCTA5 15746,46,38872
ZCTA5 15747,700,57626
ZCTA5 15748,2923,63767
ZCTA5 15750,80,31703
ZCTA5 15752,14,N
ZCTA5 15753,177,51827
ZCTA5 15754,209,65646
ZCTA5 15756,83,42014
ZCTA5 15757,605,51256
ZCTA5 15759,1083,67273
ZCTA5 15760,54,48309
ZCTA5 15761,39,37908
ZCTA5 15762,364,76443
ZCTA5 15764,74,103441
ZCTA5 15765,610,80669
ZCTA5 15767,6005,58218
ZCTA5 15770,88,62083
ZCTA5 15771,370,58829
ZCTA5 15772,599,61473
ZCTA5 15773,222,62553
ZCTA5 15774,1133,80730
ZCTA5 15775,368,51666
ZCTA5 15776,29,53672
ZCTA5 15777,42,41350
ZCTA5 15778,65,86628
ZCTA5 15779,140,62104
ZCTA5 15780,57,59039
ZCTA5 15781,42,58071
ZCTA5 15783,35,66683
ZCTA5 15784,23,151357
ZCTA5 15801,7800,63384
ZCTA5 15821,61,47689
ZCTA5 15823,524,64417
ZCTA5 15824,2101,63770
ZCTA5 15825,3817,73970
ZCTA5 15827,122,64443
ZCTA5 15828,122,47631
ZCTA5 15829,518,90702
ZCTA5 15832,132,42854
ZCTA5 15834,2113,49337
ZCTA5 15840,828,70924
ZCTA5 15841,169,47238
ZCTA5 15845,1439,58764
ZCTA5 15846,1558,85264
ZCTA5 15847,132,42876
ZCTA5 15848,371,58522
ZCTA5 15849,540,65901
ZCTA5 15851,2645,62116
ZCTA5 15853,2967,64544
ZCTA5 15856,372,67162
ZCTA5 15857,5997,68370
ZCTA5 15860,511,63745
ZCTA5 15861,76,43826
ZCTA5 15863,91,51319
ZCTA5 15864,621,58119
ZCTA5 15865,591,49028
ZCTA5 15866,81,66732
ZCTA5 15868,620,80818
ZCTA5 15870,544,63122
ZCTA5 15901,2094,26740
ZCTA5 15902,5149,46113
ZCTA5 15904,6782,74439
ZCTA5 15905,8973,73395
ZCTA5 15906,4864,47768
ZCTA5 15909,2022,63842
ZCTA5 15920,310,72594
ZCTA5 15921,46,36774
ZCTA5 15922,118,33581
ZCTA5 15923,652,76276
ZCTA5 15924,414,60220
ZCTA5 15925,63,69708
ZCTA5 15926,1081,67525
ZCTA5 15927,422,52269
ZCTA5 15928,979,83439
ZCTA5 15929,25,23436
ZCTA5 15930,81,35041
ZCTA5 15931,3788,69200
ZCTA5 15934,13,N
ZCTA5 15935,1276,74649
ZCTA5 15936,689,58580
ZCTA5 15937,297,57609
ZCTA5 15938,982,64024
ZCTA5 15940,707,82152
ZCTA5 15942,851,87415
ZCTA5 15943,1640,52136
ZCTA5 15944,1184,76293
ZCTA5 15945,18,41133
ZCTA5 15946,2828,62394
ZCTA5 15948,191,50725
ZCTA5 15949,205,53797
ZCTA5 15951,262,47734
ZCTA5 15952,552,71351
ZCTA5 15953,21,N
ZCTA5 15954,1079,51622
ZCTA5 15955,931,62208
ZCTA5 15956,1239,57058
ZCTA5 15957,218,74600
ZCTA5 15958,809,77180
ZCTA5 15960,124,58526
ZCTA5 15961,326,67819
ZCTA5 15962,93,63012
ZCTA5 15963,4596,65467
ZCTA5 16001,17616,71375
ZCTA5 16002,6398,80962
ZCTA5 16020,402,69747
ZCTA5 16022,155,89659
ZCTA5 16023,1818,67141
ZCTA5 16024,102,77970
ZCTA5 16025,2034,89606
ZCTA5 16027,101,74607
ZCTA5 16028,754,64945
ZCTA5 16029,402,55873
ZCTA5 16030,117,58296
ZCTA5 16033,2908,89615
ZCTA5 16034,777,76201
ZCTA5 16035,33,100258
ZCTA5 16036,137,62236
ZCTA5 16037,1779,99894
ZCTA5 16038,1369,88936
ZCTA5 16040,356,73048
ZCTA5 16041,876,68773
ZCTA5 16045,423,74886
ZCTA5 16046,6354,150653
ZCTA5 16048,42,90967
ZCTA5 16049,1203,63097
ZCTA5 16050,549,65953
ZCTA5 16051,1229,76646
ZCTA5 16052,1023,78343
ZCTA5 16053,1720,95425
ZCTA5 16054,174,57212
ZCTA5 16055,3357,98832
ZCTA5 16056,2006,78464
ZCTA5 16057,4669,69455
ZCTA5 16059,3375,105295
ZCTA5 16061,1160,75262
ZCTA5 16063,3420,86447
ZCTA5 16066,12656,132002
ZCTA5 16101,13832,56342
ZCTA5 16102,2281,56905
ZCTA5 16105,6947,83757
ZCTA5 16110,149,109532
ZCTA5 16111,501,54701
ZCTA5 16112,639,91551
ZCTA5 16113,192,102589
ZCTA5 16114,220,76405
ZCTA5 16115,1375,81156
ZCTA5 16116,1233,67458
ZCTA5 16117,7626,67947
ZCTA5 16120,986,66304
ZCTA5 16121,2197,39490
ZCTA5 16123,965,127650
ZCTA5 16124,711,65864
ZCTA5 16125,7056,63815
ZCTA5 16127,5409,79802
ZCTA5 16130,886,60038
ZCTA5 16131,348,78907
ZCTA5 16132,154,39043
ZCTA5 16133,579,81067
ZCTA5 16134,1680,58003
ZCTA5 16136,354,57389
ZCTA5 16137,4443,70549
ZCTA5 16140,107,60994
ZCTA5 16141,691,68287
ZCTA5 16142,2010,89255
ZCTA5 16143,979,76702
ZCTA5 16145,1330,63443
ZCTA5 16146,6214,43973
ZCTA5 16148,7566,75334
ZCTA5 16150,3118,63991
ZCTA5 16151,31,53606
ZCTA5 16153,992,69435
ZCTA5 16154,974,69731
ZCTA5 16155,49,30639
ZCTA5 16156,1241,69794
ZCTA5 16157,1363,69402
ZCTA5 16159,2305,74221
ZCTA5 16160,496,42721
ZCTA5 16161,307,44871
ZCTA5 16201,6987,72773
ZCTA5 16210,322,69857
ZCTA5 16211,34,46588
ZCTA5 16212,145,42837
ZCTA5 16213,62,49011
ZCTA5 16214,4170,62778
ZCTA5 16217,84,44064
ZCTA5 16218,463,73874
ZCTA5 16222,1016,62444
ZCTA5 16223,80,37228
ZCTA5 16224,446,72107
ZCTA5 16226,3505,61913
ZCTA5 16228,175,53900
ZCTA5 16229,2197,92212
ZCTA5 16230,196,48685
ZCTA5 16232,1689,63532
ZCTA5 16233,548,84324
ZCTA5 16235,526,76301
ZCTA5 16236,112,32271
ZCTA5 16238,190,76139
ZCTA5 16239,590,44514
ZCTA5 16240,639,62040
ZCTA5 16242,1824,61744
ZCTA5 16244,158,60068
ZCTA5 16245,102,45143
ZCTA5 16246,73,58344
ZCTA5 16248,1249,54376
ZCTA5 16249,812,71952
ZCTA5 16250,166,48853
ZCTA5 16253,57,67798
ZCTA5 16254,1436,67136
ZCTA5 16255,682,60742
ZCTA5 16256,510,58374
ZCTA5 16258,773,58442
ZCTA5 16259,871,60820
ZCTA5 16260,150,63541
ZCTA5 16262,1222,75325
ZCTA5 16263,103,62051
ZCTA5 16301,6462,62183
ZCTA5 16311,200,70326
ZCTA5 16312,0,-
ZCTA5 16313,762,59580
ZCTA5 16314,2188,65850
ZCTA5 16316,2292,70529
ZCTA5 16317,549,56260
ZCTA5 16319,527,68774
ZCTA5 16321,26,43046
ZCTA5 16322,47,37253
ZCTA5 16323,6667,66270
ZCTA5 16326,131,118159
ZCTA5 16327,1075,73791
ZCTA5 16328,61,56702
ZCTA5 16329,204,68849
ZCTA5 16331,23,64448
ZCTA5 16332,8,145000
ZCTA5 16333,121,72287
ZCTA5 16334,156,71884
ZCTA5 16335,11767,66479
ZCTA5 16340,734,63292
ZCTA5 16341,763,59913
ZCTA5 16342,867,70478
ZCTA5 16343,295,60468
ZCTA5 16344,174,54324
ZCTA5 16345,1509,103507
ZCTA5 16346,1620,59397
ZCTA5 16347,833,49110
ZCTA5 16350,873,59444
ZCTA5 16351,671,52659
ZCTA5 16352,75,88323
ZCTA5 16353,1450,53946
ZCTA5 16354,4515,57051
ZCTA5 16360,592,63340
ZCTA5 16361,5,N
ZCTA5 16362,391,73970
ZCTA5 16364,475,68868
ZCTA5 16365,8175,66393
ZCTA5 16370,145,46783
ZCTA5 16371,1382,55085
ZCTA5 16372,242,56649
ZCTA5 16373,1302,70583
ZCTA5 16374,816,58199
ZCTA5 16401,1641,63628
ZCTA5 16402,326,73501
ZCTA5 16403,2537,76015
ZCTA5 16404,1256,59428
ZCTA5 16405,308,77116
ZCTA5 16406,1319,63051
ZCTA5 16407,4698,62233
ZCTA5 16410,725,95018
ZCTA5 16411,562,77878
ZCTA5 16412,4347,72507
ZCTA5 16415,3229,112825
ZCTA5 16416,80,54569
ZCTA5 16417,3417,76736
ZCTA5 16420,223,47818
ZCTA5 16421,1022,77001
ZCTA5 16422,134,50125
ZCTA5 16423,1714,70589
ZCTA5 16424,1995,68245
ZCTA5 16426,1458,68556
ZCTA5 16427,63,50270
ZCTA5 16428,4795,80208
ZCTA5 16433,2034,72862
ZCTA5 16434,949,60908
ZCTA5 16435,751,58900
ZCTA5 16436,283,54234
ZCTA5 16438,3176,66110
ZCTA5 16440,378,66878
ZCTA5 16441,3994,84352
ZCTA5 16442,1185,83568
ZCTA5 16443,461,71616
ZCTA5 16444,0,-
ZCTA5 16501,1163,16740
ZCTA5 16502,6974,42062
ZCTA5 16503,5628,37468
ZCTA5 16504,6874,55716
ZCTA5 16505,7615,89374
ZCTA5 16506,9967,93284
ZCTA5 16507,3699,42715
ZCTA5 16508,6913,65692
ZCTA5 16509,11852,75976
ZCTA5 16510,9982,71220
ZCTA5 16511,4604,68590
ZCTA5 16546,0,-
ZCTA5 16563,0,-
ZCTA5 16601,13477,66091
ZCTA5 16602,12156,61239
ZCTA5 16611,1041,69261
ZCTA5 16613,520,79903
ZCTA5 16616,69,40943
ZCTA5 16617,1166,81713
ZCTA5 16619,129,76149
ZCTA5 16620,136,61437
ZCTA5 16621,280,69275
ZCTA5 16622,56,65354
ZCTA5 16623,216,67425
ZCTA5 16624,75,68360
ZCTA5 16625,1616,58231
ZCTA5 16627,880,57741
ZCTA5 16630,1965,63366
ZCTA5 16631,40,69225
ZCTA5 16633,120,58649
ZCTA5 16634,146,53808
ZCTA5 16635,5331,75336
ZCTA5 16636,296,78966
ZCTA5 16637,1124,63054
ZCTA5 16638,14,84600
ZCTA5 16639,617,63907
ZCTA5 16640,299,66356
ZCTA5 16641,1128,57805
ZCTA5 16645,83,54318
ZCTA5 16646,930,63819
ZCTA5 16647,301,68920
ZCTA5 16648,6267,83220
ZCTA5 16650,674,57981
ZCTA5 16651,1368,64884
ZCTA5 16652,5961,68968
ZCTA5 16655,644,69066
ZCTA5 16656,483,53200
ZCTA5 16657,565,63853
ZCTA5 16659,88,47459
ZCTA5 16661,346,54040
ZCTA5 16662,2331,69640
ZCTA5 16664,687,69739
ZCTA5 16665,120,75513
ZCTA5 16666,1469,55396
ZCTA5 16667,553,52712
ZCTA5 16668,1406,62728
ZCTA5 16669,866,63836
ZCTA5 16670,12,52725
ZCTA5 16671,186,61957
ZCTA5 16672,82,55578
ZCTA5 16673,2165,72622
ZCTA5 16674,244,59113
ZCTA5 16677,118,23367
ZCTA5 16678,1077,55552
ZCTA5 16679,285,45586
ZCTA5 16680,138,71176
ZCTA5 16682,16,49056
ZCTA5 16683,124,67181
ZCTA5 16685,94,94306
ZCTA5 16686,5269,64497
ZCTA5 16689,198,58716
ZCTA5 16691,159,60018
ZCTA5 16692,363,59319
ZCTA5 16693,1450,69049
ZCTA5 16694,76,39621
ZCTA5 16695,415,72514
ZCTA5 16699,0,-
ZCTA5 16701,7220,61639
ZCTA5 16720,493,64145
ZCTA5 16724,50,51514
ZCTA5 16725,59,78208
ZCTA5 16726,240,83131
ZCTA5 16727,54,86067
ZCTA5 16728,14,71536
ZCTA5 16729,295,54657
ZCTA5 16730,48,44715
ZCTA5 16731,1101,63117
ZCTA5 16732,108,55729
ZCTA5 16733,57,58419
ZCTA5 16734,118,56179
ZCTA5 16735,2670,60419
ZCTA5 16738,601,68733
ZCTA5 16740,440,57551
ZCTA5 16743,1617,74106
ZCTA5 16744,100,58509
ZCTA5 16745,276,58816
ZCTA5 16746,475,60798
ZCTA5 16748,1086,54681
ZCTA5 16749,1662,61476
ZCTA5 16750,189,72475
ZCTA5 16801,18116,74756
ZCTA5 16802,0,-
ZCTA5 16803,10083,85189
ZCTA5 16820,481,85375
ZCTA5 16821,120,67075
ZCTA5 16822,729,70812
ZCTA5 16823,11699,77578
ZCTA5 16825,155,54634
ZCTA5 16826,187,61523
